timestamp,Temperature,Humidity,PM2.5,CO2,TVOC,CO,prediction
2026-02-05 22:53:07,33.4,65.6,0.0,362.0,12.0,0.88,Poor
2026-02-05 22:53:13,33.4,65.6,0.0,364.0,14.0,0.87,Poor
2026-02-05 22:53:18,33.5,65.6,0.0,363.0,11.0,0.88,Poor
2026-02-05 22:53:24,33.4,65.7,0.0,361.0,13.0,0.87,Poor
2026-02-05 22:53:29,33.4,65.7,0.0,364.0,13.0,0.87,Poor
2026-02-05 22:53:35,33.4,65.6,0.0,364.0,12.0,0.86,Poor
2026-02-05 22:53:40,33.5,65.6,0.0,361.0,12.0,0.88,Poor
2026-02-05 22:53:45,33.4,65.7,0.0,364.0,12.0,0.86,Poor
2026-02-05 22:53:51,33.4,65.6,0.0,361.0,11.0,0.87,Poor
2026-02-05 22:53:56,33.4,65.6,0.0,362.0,12.0,0.86,Poor
2026-02-05 22:54:02,33.4,65.6,0.0,364.0,14.0,0.86,Poor
2026-02-05 22:54:10,33.4,65.5,0.0,362.0,12.0,0.88,Poor
2026-02-05 22:54:16,33.4,65.6,0.0,364.0,14.0,0.88,Poor
2026-02-05 22:54:21,33.4,65.6,0.0,364.0,13.0,0.86,Poor
2026-02-05 22:54:27,33.4,65.6,0.0,359.0,9.0,0.86,Poor
2026-02-05 22:54:32,33.4,65.6,0.0,363.0,14.0,0.87,Poor
2026-02-05 22:54:37,33.4,65.6,0.0,356.0,5.0,0.89,Poor
2026-02-05 22:54:43,33.4,65.6,0.0,387.0,35.0,0.88,Poor
2026-02-05 22:54:48,33.4,65.6,0.0,381.0,30.0,0.87,Poor
2026-02-05 22:54:54,33.4,65.6,0.0,364.0,13.0,0.86,Poor
2026-02-05 22:54:59,33.4,65.7,0.0,361.0,9.0,0.85,Poor
2026-02-05 22:55:05,33.4,65.8,0.0,361.0,11.0,0.85,Poor
2026-02-05 22:55:10,33.4,65.8,0.0,362.0,11.0,0.86,Poor
2026-02-05 22:55:16,33.3,65.7,0.0,363.0,14.0,0.85,Poor
